주문번호,고객ID,상품명,카테고리,수량,단가,주문일,배송평점,결제수단코드
1001,C010,무릎담요,생활용품,1,"22,000",2026-06-01,1,T
1002,C021,양말세트,패션,3,"8,900",2026-06-01,3,C
1003,C013,우산,생활용품,3,"15,000",2026-06-01,5,P
1004,C006,향초,생활용품,3,"9,500",2026-06-01,5,P
1005,C004,디퓨저,생활용품,3,"16,500",2026-06-01,5,P
1006,C018,고양이장난감,반려동물,4,"7,500",2026-06-01,5,P
1007,C004,고양이장난감,반려동물,2,"7,500",2026-06-01,3,T
1008,C023,향초,생활용품,3,"9,500",2026-06-01,2,T
1009,C003,게이밍마우스,전자기기,4,"38,000",2026-06-01,4,P
1010,C017,고양이장난감,반려동물,2,"7,500",2026-06-01,3,T
1011,C011,게이밍마우스,전자기기,3,"38,000",2026-06-02,2,P
1012,C008,고양이장난감,반려동물,2,"7,500",2026-06-02,3,P
1013,C021,후드티,패션,2,"39,000",2026-06-02,5,C
1014,C026,고양이장난감,반려동물,2,"7,500",2026-06-02,5,P
1015,C019,디퓨저,생활용품,2,"16,500",2026-06-02,4,T
1016,C025,후드티,패션,2,"39,000",2026-06-02,3,C
1017,C024,텀블러,생활용품,1,"18,000",2026-06-02,3,C
1018,C015,게이밍마우스,전자기기,1,"38,000",2026-06-02,,P
1019,C013,고양이장난감,반려동물,3,"7,500",2026-06-02,4,P
1020,C015,향초,생활용품,3,"9,500",2026-06-02,3,C
1021,C005,무선이어폰,전자기기,4,"89,000",2026-06-02,3,C
1022,C005,보조배터리,전자기기,1,"29,000",2026-06-02,3,C
1023,C001,블루투스스피커,전자기기,1,"45,000",2026-06-03,3,C
1024,C009,고양이장난감,반려동물,1,"7,500",2026-06-03,5,P
1025,C023,휴대폰케이스,전자기기,2,"12,000",2026-06-03,4,P
1026,C026,무선이어폰,전자기기,1,"89,000",2026-06-03,50,P
1027,C013,우산,생활용품,50,"15,000",2026-06-03,4,T
1028,C027,게이밍마우스,전자기기,1,"38,000",2026-06-03,,C
1029,C002,우산, 생활용품,2,"15,000",2026-06-03,3,P
1030,C012,향초,생활용품,,"9,500",2026-06-03,4,P
1031,C027,무선이어폰,전자기기,2,"89,000",2026-06-03,3,C
1032,C025,보조배터리,전자기기,2,"29,000",2026-06-03,5,C
1033,C013,보조배터리,전자기기,3,"29,000",2026-06-03,2,C
1034,C009,텀블러,생활용품,2,"18,000",2026-06-04,5,P
1035,C005,보조배터리,전자기기,1,"29,000",2026-06-04,5,C
1036,C026,고양이장난감,반려동물,5,"7,500",2026-06-04,4,C
1037,C020,보조배터리,전자기기,3,"29,000",2026-06-04,5,C
1038,C011,무선이어폰,전자기기,2,"89,000",2026-06-04,5,P
1039,C020,양말세트,패션,5,"8,900",2026-06-04,3,C
1040,C020,무릎담요,생활용품,,"22,000",2026-06-04,4,P
1041,C016,후드티,패션,2,"39,000",2026-06-04,5,T
1042,C011,후드티,패션,2,"39,000",2026-06-04,4,C
1043,C003,휴대폰케이스,전자기기,5,"12,000",2026-06-04,5,T
1044,C012,휴대폰케이스,전자기기,5,"12,000",2026-06-05,5,T
1045,C020,양말세트,패션,1,"8,900",2026-06-05,4,C
1046,C019,무릎담요,생활용품,3,"22,000",2026-06-05,3,P
1047,C024,무릎담요,,5,"22,000",2026-06-05,4,P
1048,C018,블루투스스피커, 전자기기,4,"45,000",2026-06-05,5,C
1049,C021,우산,생활용품,1,"15,000",2026-06-05,4,P
1050,C017,보조배터리,전자기기,5,"29,000",2026-06-05,2,P
1051,C025,게이밍마우스,전자기기,2,"38,000",2026-06-05,,P
1052,C025,고양이장난감,반려동물,1,"7,500",2026-06-06,5,P
1053,C025,텀블러,생활용품,4,"18,000",2026-06-06,4,T
1054,C021,보조배터리,전자기기,3,"29,000",2026-06-06,1,P
1055,C010,향초,생활용품,5,"9,500",2026-06-06,5,P
1056,C020,후드티,패션,1,"39,000",2026-06-06,5,T
1057,C017,볼캡,패션,1,"24,000",2026-06-06,3,T
1058,C014,무선이어폰,전자기기,5,"89,000",2026-06-06,4,P
1059,C024,휴대폰케이스,전자기기,4,"12,000",2026-06-06,3,P
1060,C005,향초,생활용품,,"9,500",2026-06-06,2,P
1061,C006,휴대폰케이스,전자기기,5,"12,000",2026-06-06,5,T
1062,C015,강아지간식,반려동물,5,"13,000",2026-06-06,5,P
1063,C013,양말세트,패션,2,"8,900",2026-06-07,1,C
1064,C010,디퓨저,생활용품,2,"16,500",2026-06-07,3,P
1065,C007,보조배터리,전자기기,2,"29,000",2026-06-07,1,C
1066,C012,텀블러,생활용품,1,"18,000",2026-06-07,5,P
1067,C001,무릎담요,생활용품,4,"22,000",2026-06-07,4,C
1068,C020,향초,생활용품,2,"9,500",2026-06-07,,T
1069,C014,무선이어폰,전자기기,2,"89,000",2026-06-07,4,P
1070,C026,향초,생활용품,1,"9,500",2026-06-07,2,C
1071,C013,텀블러,생활용품,1,"18,000",2026-06-07,3,P
1072,C016,향초,생활용품,4,"9,500",2026-06-08,5,C
1073,C001,블루투스스피커,전자기기,4,"45,000",2026-06-08,4,T
1074,C003,후드티,패션,5,"39,000",2026-06-08,4,P
1075,C018,볼캡,패션,1,"24,000",2026-06-08,4,P
1076,C010,무선이어폰,전자기기,1,"89,000",2026-06-08,5,P
1077,C020,게이밍마우스,전자기기,5,"38,000",2026-06-08,4,C
1078,C002,무릎담요,생활용품,1,"22,000",2026-06-08,5,C
1079,C003,강아지간식,반려동물,2,"13,000",2026-06-08,2,P
1080,C010,보조배터리,전자기기,1,"29,000",2026-06-08,5,C
1081,C026,디퓨저,생활용품,3,"16,500",2026-06-08,4,T
1082,C022,보조배터리,전자기기,1,"29,000",2026-06-08,4,C
1083,C011,고양이장난감,반려동물,1,"7,500",2026-06-08,5,C
1084,C007,후드티,패션,3,"39,000",2026-06-08,,C
1085,C016,후드티,패션,2,"39,000",2026-06-08,5,P
1086,C025,향초,생활용품,4,"9,500",2026-06-08,3,C
1087,C004,휴대폰케이스,전자기기,1,"12,000",2026-06-08,5,C
1088,C008,디퓨저,생활용품,4,"16,500",2026-06-08,4,C
1089,C019,우산,생활용품,2,"15,000",2026-06-08,5,P
1090,C022,고양이장난감,반려동물,3,"7,500",2026-06-08,5,P
1091,C013,텀블러,생활용품,5,"18,000",2026-06-09,5,C
1092,C023,향초,생활용품 ,3,"9,500",2026-06-09,5,T
1093,C027,후드티,패션,2,"39,000",2026-06-09,3,T
1094,C017,우산,생활용품,5,"15,000",2026-06-09,5,C
1095,C004,향초,생활용품,4,"9,500",2026-06-09,4,P
1096,C016,휴대폰케이스,전자기기,5,"12,000",2026-06-09,4,P
1097,C021,휴대폰케이스,전자기기,3,"12,000",2026-06-09,4,C
1098,C018,게이밍마우스,,4,"38,000",2026-06-09,4,T
1099,C019,휴대폰케이스,전자기기,5,"12,000",2026-06-09,5,C
1100,C023,강아지간식,반려동물,2,"13,000",2026-06-09,2,T
1101,C006,디퓨저,생활용품,5,"16,500",2026-06-09,5,C
1102,C015,무릎담요,생활용품,2,"22,000",2026-06-09,5,T
1103,C006,볼캡,패션,3,"24,000",2026-06-10,4,T
1104,C024,강아지간식,반려동물,3,"13,000",2026-06-10,5,T
1105,C013,양말세트,패션,4,"8,900",2026-06-10,5,T
1106,C005,무선이어폰,전자기기,4,"89,000",2026-06-10,3,P
1107,C027,볼캡,패션,4,"24,000",2026-06-10,3,C
1108,C022,블루투스스피커,,2,"45,000",2026-06-10,4,T
1109,C022,후드티,패션,3,"39,000",2026-06-10,1,P
1110,C020,디퓨저,생활용품,4,"16,500",2026-06-10,4,P
1111,C020,후드티,,2,"39,000",2026-06-11,2,P
1112,C001,디퓨저,생활용품,1,"16,500",2026-06-11,5,P
1113,C022,향초,생활용품,1,"9,500",2026-06-11,5,C
1114,C016,고양이장난감,반려동물,2,"7,500",2026-06-11,4,C
1115,C024,볼캡,패션,4,"24,000",2026-06-11,3,P
