구,전용면적_m2,층,건축년도,지하철역_거리_m,방개수,욕실개수,브랜드등급,거래금액_만원
구도심구,74.13,6,1996,504,3,1,2,50900
신도심구,60.08,9,2009,641,3,1,2,76100
호수구,49.86,27,1994,460,2,1,3,54100
구도심구,84.32,27,2012,2098,3,1,3,73300
중앙구,100.17,4,2011,820,4,2,1,173300
호수구,84.46,18,2012,142,3,1,1,102800
구도심구,73.92,10,2022,467,3,1,2,76300
구도심구,83.63,11,2018,1087,3,1,2,78200
중앙구,77.21,18,2001,1142,3,1,1,114800
신도심구,82.15,29,2011,785,3,1,3,111900
신도심구,85.15,17,2018,840,3,1,2,141800
호수구,82.96,28,2020,532,3,1,1,98800
구도심구,84.16,24,2013,704,3,1,2,74100
구도심구,117.08,23,1995,903,4,2,1,84400
신도심구,72.85,23,2006,1293,3,1,3,96500
강변구,48.13,23,2020,123,2,1,1,91100
신도심구,58.98,8,1995,2500,3,1,2,60100
중앙구,82.98,29,2011,701,3,1,2,158800
구도심구,85.06,27,2010,573,3,1,1,82300
구도심구,83.36,18,2000,319,3,1,2,75600
구도심구,84.78,21,2004,336,3,1,1,70200
신도심구,57.4,26,2024,2500,3,1,1,72000
호수구,81.83,5,2012,727,3,1,1,91700
호수구,83.73,2,2023,894,3,1,2,102200
구도심구,72.12,29,2008,1325,3,1,3,57400
강변구,75.82,17,2020,193,3,1,1,135800
신도심구,57.16,21,2012,525,3,1,2,81200
중앙구,72.75,15,2022,849,3,1,3,159400
강변구,101.5,16,2003,853,4,2,1,141400
구도심구,113.3,2,2005,636,4,2,3,99900
구도심구,82.18,9,1994,1006,3,1,1,60600
호수구,61.45,3,2000,262,3,1,2,72400
강변구,82.8,13,1997,928,3,1,2,111700
신도심구,83.76,1,1998,849,3,1,3,95200
신도심구,73.75,24,2002,1114,3,1,1,88600
강변구,101.85,9,2020,796,4,2,1,181000
중앙구,49.55,22,2005,1226,2,1,2,98300
신도심구,48.01,2,2019,1030,2,1,2,62900
강변구,58.61,1,2019,1127,3,1,2,83400
구도심구,58.73,13,2024,638,3,1,2,57900
신도심구,101.9,23,2009,808,4,2,2,139200
구도심구,72.6,24,2020,921,3,1,1,73900
구도심구,61.42,16,2006,350,3,1,1,48100
강변구,73.09,18,2013,1038,3,1,1,105600
구도심구,73.99,20,2018,820,3,1,1,72900
구도심구,72.61,20,1997,470,3,1,2,54200
신도심구,57.44,22,1994,627,3,1,1,59600
강변구,82.95,1,1998,1370,3,1,1,105500
구도심구,57.84,13,2016,428,3,1,1,53700
중앙구,100.5,25,2008,748,4,2,3,199600
강변구,57.83,13,2001,712,3,1,1,90500
중앙구,84.83,5,2017,342,3,1,1,158200
구도심구,100.06,20,1993,506,4,2,2,71400
구도심구,57.93,9,1998,709,3,1,1,49100
구도심구,58.53,15,2008,336,3,1,2,55200
구도심구,115.19,15,2022,583,4,2,1,119300
신도심구,84.26,21,2016,182,3,1,2,124100
신도심구,83.88,27,2014,974,3,1,1,111300
중앙구,47.28,21,2015,283,2,1,1,92700
중앙구,57.63,29,2002,554,3,1,1,105000
구도심구,82.47,1,2007,510,3,1,2,70800
신도심구,102.57,23,2021,1003,4,2,2,154100
신도심구,59.64,13,2016,91,3,1,1,91600
구도심구,99.97,22,2012,1152,4,2,2,94100
구도심구,83.32,3,1995,66,3,1,1,57500
신도심구,58.01,16,2016,1638,3,1,2,77000
신도심구,57.94,1,2004,1588,3,1,3,63000
강변구,59.55,20,2005,746,3,1,1,93700
중앙구,73.65,7,2014,1151,3,1,1,140300
신도심구,86.5,5,2005,1713,3,1,2,100900
강변구,75.5,3,2011,593,3,1,3,135100
신도심구,60.57,8,1993,1404,3,1,2,55800
호수구,84.81,28,1998,162,3,1,1,81800
강변구,83.49,29,2010,1425,3,1,2,124300
중앙구,84.72,3,2023,367,3,1,1,181200
강변구,83.58,29,2017,492,3,1,3,161700
강변구,60.96,18,2006,290,3,1,2,99800
구도심구,84.49,10,2024,738,3,1,3,81400
신도심구,74.31,28,2001,1595,3,1,3,92900
구도심구,74.15,7,2021,260,3,1,3,79400
구도심구,61.09,6,2005,621,3,1,1,44700
신도심구,82.28,7,1995,215,3,1,3,99700
구도심구,86.21,5,1993,766,3,1,1,62500
강변구,73.78,15,2024,2500,3,1,1,124500
중앙구,99.31,5,2013,729,4,2,1,172700
중앙구,100.1,7,1997,262,4,2,1,177000
구도심구,57.02,11,2024,178,3,1,1,53500
신도심구,84.78,19,1994,601,3,1,2,91000
강변구,72.75,25,2003,779,3,1,1,97200
신도심구,134.2,3,2016,1097,4,2,1,180100
강변구,60.36,19,1994,915,3,1,1,79900
구도심구,58.19,4,2021,900,3,1,2,54400
신도심구,73.68,29,2014,420,3,1,2,111300
신도심구,57.44,9,2023,121,3,1,2,90100
강변구,83.53,25,2019,524,3,1,2,152600
구도심구,87.09,23,2019,237,3,1,2,87800
신도심구,59.93,10,2000,1542,3,1,1,60500
중앙구,83.68,10,1999,198,3,1,2,169300
중앙구,100.27,10,2000,793,4,2,1,184900
호수구,100.95,14,1997,309,4,2,1,111200
호수구,84.16,13,2014,1212,3,1,3,95600
구도심구,58.5,20,1994,330,3,1,1,42800
강변구,59.64,14,2006,595,3,1,3,96100
호수구,99.86,23,2011,477,4,2,1,121300
구도심구,82.85,14,2010,1264,3,1,2,72200
구도심구,84.44,9,2008,435,3,1,1,70000
신도심구,99.6,10,2000,1187,4,2,3,125100
강변구,59.87,22,1996,231,3,1,2,83800
중앙구,83.98,5,2024,572,3,1,1,159600
호수구,56.81,9,2007,782,3,1,1,59400
신도심구,59.13,10,2012,391,3,1,2,80600
강변구,81.98,19,2011,154,3,1,1,134600
강변구,74.83,4,2004,740,3,1,1,86300
신도심구,113.7,14,2016,402,4,2,3,165400
강변구,76.22,20,2005,1108,3,1,2,115000
호수구,102.29,27,2006,611,4,2,1,97400
구도심구,82.73,13,2018,503,3,1,1,70700
구도심구,81.58,29,2003,429,3,1,1,68700
신도심구,113.09,18,2015,455,4,2,2,174700
구도심구,72.53,23,2014,149,3,1,1,64100
신도심구,76.19,8,1993,231,3,1,1,83300
구도심구,58.99,27,2014,330,3,1,1,54600
중앙구,60.12,8,2018,2131,3,1,3,102400
신도심구,100.66,4,2001,425,4,2,1,129100
중앙구,83.78,3,2022,107,3,1,2,181200
신도심구,73.96,19,1993,1146,3,1,1,77800
강변구,60.33,19,1998,1186,3,1,2,86600
중앙구,84.37,6,2023,211,3,1,1,160700
중앙구,82.73,26,2020,490,3,1,3,203600
신도심구,60.95,9,2017,721,3,1,3,97900
강변구,83.65,18,2012,418,3,1,1,138800
호수구,83.45,16,1999,905,3,1,1,83300
신도심구,97.6,18,2008,678,4,2,3,134700
강변구,59.76,22,2011,897,3,1,1,99100
신도심구,84.12,27,1995,1161,3,1,2,90000
중앙구,59.12,21,2012,98,3,1,2,123600
호수구,73.52,27,1995,163,3,1,1,71800
신도심구,83.31,26,1997,548,3,1,1,97300
구도심구,83.56,11,1998,775,3,1,1,68500
중앙구,59.56,17,1999,471,3,1,2,124800
신도심구,101.77,6,1995,2333,4,2,1,95200
신도심구,48.72,27,2023,357,2,1,2,80100
호수구,85.14,29,2018,833,3,1,2,98100
신도심구,133.91,26,2009,1301,4,2,2,186000
신도심구,83.39,22,2004,296,3,1,1,103300
강변구,101.24,25,1999,254,4,2,1,180100
강변구,82.37,24,2023,487,3,1,1,131000
신도심구,101.28,7,2018,333,4,2,1,165400
신도심구,82.15,8,2017,396,3,1,1,123400
중앙구,82.77,16,2008,616,3,1,3,156400
구도심구,56.58,13,1993,415,3,1,1,49300
호수구,83.79,22,2013,623,3,1,1,89100
중앙구,60.93,22,2008,228,3,1,2,120300
신도심구,133.86,29,2002,1228,4,2,2,148000
중앙구,59.77,23,2003,898,3,1,1,103400
구도심구,61.82,1,1994,1961,3,1,1,36700
