season,year,month,hour,holiday,weekday,workingday,weather,temp,feel_temp,humidity,windspeed,count
spring,2011,1,0,0,6,0,clear,3.28,3.0,81.0,0.0,16
spring,2011,1,1,0,6,0,clear,2.34,2.0,80.0,0.0,40
spring,2011,1,2,0,6,0,clear,2.34,2.0,80.0,0.0,32
spring,2011,1,3,0,6,0,clear,3.28,3.0,75.0,0.0,13
spring,2011,1,4,0,6,0,clear,3.28,3.0,75.0,0.0,1
spring,2011,1,5,0,6,0,misty,3.28,1.0,75.0,6.0,1
spring,2011,1,6,0,6,0,clear,2.34,2.0,80.0,0.0,2
spring,2011,1,7,0,6,0,clear,1.4,1.0,86.0,0.0,3
spring,2011,1,8,0,6,0,clear,3.28,3.0,75.0,0.0,8
spring,2011,1,9,0,6,0,clear,7.04,7.0,76.0,0.0,14
spring,2011,1,10,0,6,0,clear,9.86,10.0,76.0,17.0,36
spring,2011,1,11,0,6,0,clear,8.92,6.0,81.0,19.0,56
spring,2011,1,12,0,6,0,clear,11.74,12.0,77.0,19.0,84
spring,2011,1,13,0,6,0,misty,13.62,14.0,72.0,20.0,94
spring,2011,1,14,0,6,0,misty,13.62,14.0,72.0,19.0,106
spring,2011,1,15,0,6,0,misty,12.68,13.0,77.0,20.0,110
spring,2011,1,16,0,6,0,misty,11.74,12.0,82.0,20.0,93
spring,2011,1,17,0,6,0,misty,12.68,13.0,82.0,19.0,67
spring,2011,1,18,0,6,0,rain,11.74,12.0,88.0,17.0,35
spring,2011,1,19,0,6,0,rain,11.74,12.0,88.0,17.0,37
spring,2011,1,20,0,6,0,misty,10.8,11.0,87.0,17.0,36
spring,2011,1,21,0,6,0,misty,10.8,11.0,87.0,13.0,34
spring,2011,1,22,0,6,0,misty,10.8,11.0,94.0,15.0,28
spring,2011,1,23,0,6,0,misty,13.62,14.0,88.0,20.0,39
spring,2011,1,0,0,0,0,misty,13.62,14.0,88.0,20.0,17
spring,2011,1,1,0,0,0,misty,12.68,13.0,94.0,17.0,17
spring,2011,1,2,0,0,0,misty,11.74,12.0,100.0,19.0,9
spring,2011,1,3,0,0,0,misty,13.62,14.0,94.0,13.0,6
spring,2011,1,4,0,0,0,misty,13.62,14.0,94.0,13.0,3
spring,2011,1,6,0,0,0,rain,11.74,12.0,77.0,20.0,2
spring,2011,1,7,0,0,0,misty,10.8,11.0,76.0,13.0,1
spring,2011,1,8,0,0,0,rain,10.8,11.0,71.0,15.0,8
spring,2011,1,9,0,0,0,misty,9.86,10.0,76.0,15.0,20
spring,2011,1,10,0,0,0,misty,8.92,7.0,81.0,15.0,53
spring,2011,1,11,0,0,0,misty,8.92,6.0,71.0,17.0,70
spring,2011,1,12,0,0,0,misty,8.92,6.0,66.0,20.0,93
spring,2011,1,13,0,0,0,misty,8.92,7.0,66.0,9.0,75
spring,2011,1,14,0,0,0,rain,8.92,7.0,76.0,13.0,59
spring,2011,1,15,0,0,0,rain,7.98,6.0,81.0,11.0,74
spring,2011,1,16,0,0,0,rain,7.98,6.0,71.0,11.0,76
spring,2011,1,17,0,0,0,clear,7.98,6.0,57.0,13.0,65
spring,2011,1,18,0,0,0,misty,8.92,6.0,46.0,22.0,53
spring,2011,1,19,0,0,0,clear,7.04,3.0,42.0,30.0,30
spring,2011,1,20,0,0,0,clear,6.1,2.0,39.0,24.0,22
spring,2011,1,21,0,0,0,clear,4.22,-1.0,44.0,22.0,31
spring,2011,1,22,0,0,0,clear,3.28,-2.0,44.0,20.0,9
spring,2011,1,23,0,0,0,clear,2.34,-1.0,47.0,11.0,8
spring,2011,1,0,0,1,1,clear,2.34,-3.0,44.0,24.0,5
spring,2011,1,1,0,1,1,clear,1.4,-5.0,44.0,28.0,2
spring,2011,1,4,0,1,1,clear,-0.48,-7.0,47.0,26.0,1
spring,2011,1,5,0,1,1,clear,-0.48,-7.0,47.0,19.0,3
spring,2011,1,6,0,1,1,clear,-1.42,-9.0,50.0,26.0,30
spring,2011,1,7,0,1,1,clear,-1.42,-7.0,50.0,13.0,64
spring,2011,1,8,0,1,1,clear,-1.42,-8.0,50.0,19.0,154
spring,2011,1,9,0,1,1,clear,-0.48,-7.0,43.0,26.0,88
spring,2011,1,10,0,1,1,clear,0.46,-5.0,43.0,17.0,44
spring,2011,1,11,0,1,1,clear,1.4,-4.0,40.0,22.0,51
spring,2011,1,12,0,1,1,clear,2.34,-2.0,35.0,20.0,61
spring,2011,1,13,0,1,1,clear,3.28,-2.0,35.0,19.0,61
spring,2011,1,14,0,1,1,clear,4.22,-0.0,30.0,19.0,77
spring,2011,1,15,0,1,1,clear,4.22,-0.0,30.0,17.0,72
spring,2011,1,16,0,1,1,clear,4.22,-0.0,30.0,17.0,76
spring,2011,1,17,0,1,1,clear,3.28,-1.0,30.0,15.0,157
spring,2011,1,18,0,1,1,clear,3.28,1.0,32.0,7.0,157
spring,2011,1,19,0,1,1,clear,1.4,1.0,47.0,0.0,110
spring,2011,1,20,0,1,1,clear,1.4,-1.0,47.0,7.0,52
spring,2011,1,21,0,1,1,clear,0.46,-3.0,64.0,9.0,52
spring,2011,1,22,0,1,1,clear,-1.42,-6.0,69.0,9.0,20
spring,2011,1,23,0,1,1,clear,0.46,-2.0,55.0,7.0,12
spring,2011,1,0,0,2,1,clear,-0.48,-4.0,55.0,7.0,5
spring,2011,1,1,0,2,1,clear,-0.48,-4.0,59.0,7.0,2
spring,2011,1,2,0,2,1,clear,-1.42,-6.0,63.0,9.0,1
spring,2011,1,4,0,2,1,clear,-1.42,-4.0,63.0,6.0,2
spring,2011,1,5,0,2,1,clear,-2.36,-6.0,68.0,7.0,4
spring,2011,1,6,0,2,1,clear,-2.36,-6.0,74.0,7.0,36
spring,2011,1,7,0,2,1,clear,-2.36,-6.0,74.0,9.0,94
spring,2011,1,8,0,2,1,clear,-1.42,-6.0,69.0,11.0,179
spring,2011,1,9,0,2,1,clear,-0.48,-6.0,64.0,15.0,100
spring,2011,1,10,0,2,1,misty,-0.48,-7.0,69.0,22.0,42
spring,2011,1,11,0,2,1,clear,2.34,-2.0,51.0,20.0,57
spring,2011,1,12,0,2,1,clear,2.34,-1.0,51.0,11.0,78
spring,2011,1,13,0,2,1,clear,3.28,-1.0,56.0,13.0,97
spring,2011,1,14,0,2,1,clear,4.22,1.0,52.0,15.0,63
spring,2011,1,15,0,2,1,clear,5.16,2.0,52.0,17.0,65
spring,2011,1,16,0,2,1,clear,6.1,3.0,49.0,17.0,83
spring,2011,1,17,0,2,1,clear,5.16,2.0,48.0,15.0,212
spring,2011,1,18,0,2,1,clear,4.22,1.0,48.0,13.0,182
spring,2011,1,19,0,2,1,clear,3.28,1.0,48.0,7.0,112
spring,2011,1,20,0,2,1,clear,3.28,1.0,48.0,7.0,54
spring,2011,1,21,0,2,1,clear,2.34,2.0,64.0,0.0,48
spring,2011,1,22,0,2,1,clear,2.34,1.0,64.0,6.0,35
spring,2011,1,23,0,2,1,clear,1.4,-1.0,69.0,6.0,11
spring,2011,1,0,0,3,1,clear,1.4,1.0,64.0,0.0,6
spring,2011,1,1,0,3,1,clear,-0.48,-3.0,74.0,6.0,6
spring,2011,1,2,0,3,1,clear,-0.48,-3.0,74.0,6.0,2
spring,2011,1,4,0,3,1,clear,3.28,-1.0,48.0,15.0,2
spring,2011,1,5,0,3,1,clear,2.34,-1.0,47.0,11.0,3
spring,2011,1,6,0,3,1,clear,1.4,-3.0,47.0,15.0,33
spring,2011,1,7,0,3,1,clear,0.46,-4.0,43.0,13.0,88
spring,2011,1,8,0,3,1,clear,1.4,-4.0,40.0,20.0,195
spring,2011,1,9,0,3,1,clear,2.34,-3.0,37.0,22.0,115
spring,2011,1,10,0,3,1,clear,2.34,-3.0,37.0,22.0,57
spring,2011,1,11,0,3,1,clear,4.22,-1.0,33.0,22.0,46
spring,2011,1,12,0,3,1,clear,4.22,-1.0,33.0,22.0,79
spring,2011,1,13,0,3,1,clear,5.16,1.0,30.0,20.0,71
spring,2011,1,14,0,3,1,clear,6.1,3.0,28.0,13.0,62
spring,2011,1,15,0,3,1,clear,6.1,3.0,28.0,13.0,62
spring,2011,1,16,0,3,1,clear,6.1,5.0,28.0,6.0,89
spring,2011,1,17,0,3,1,clear,3.28,-1.0,38.0,13.0,190
spring,2011,1,18,0,3,1,clear,3.28,-0.0,38.0,9.0,169
spring,2011,1,19,0,3,1,clear,3.28,1.0,38.0,7.0,132
spring,2011,1,20,0,3,1,clear,2.34,-1.0,47.0,11.0,89
spring,2011,1,21,0,3,1,clear,1.4,-3.0,51.0,13.0,43
spring,2011,1,22,0,3,1,clear,0.46,-3.0,55.0,9.0,42
spring,2011,1,23,0,3,1,clear,1.4,1.0,47.0,0.0,19
spring,2011,1,0,0,4,1,clear,0.46,-0.0,55.0,0.0,11
spring,2011,1,1,0,4,1,clear,-0.48,-1.0,64.0,0.0,4
spring,2011,1,2,0,4,1,clear,-0.48,-1.0,64.0,0.0,2
spring,2011,1,4,0,4,1,misty,-0.48,-3.0,64.0,6.0,1
spring,2011,1,5,0,4,1,misty,-1.42,-4.0,69.0,6.0,4
spring,2011,1,6,0,4,1,misty,-1.42,-5.0,63.0,7.0,36
spring,2011,1,7,0,4,1,misty,-0.48,-1.0,59.0,0.0,95
spring,2011,1,8,0,4,1,clear,-0.48,-1.0,59.0,0.0,219
spring,2011,1,9,0,4,1,misty,0.46,-0.0,51.0,0.0,122
spring,2011,1,10,0,4,1,clear,1.4,1.0,47.0,0.0,45
spring,2011,1,11,0,4,1,clear,2.34,1.0,44.0,6.0,59
spring,2011,1,12,0,4,1,clear,4.22,3.0,35.0,0.0,84
spring,2011,1,13,0,4,1,clear,4.22,2.0,35.0,7.0,67
spring,2011,1,14,0,4,1,clear,5.16,2.0,36.0,11.0,70
spring,2011,1,15,0,4,1,clear,5.16,2.0,36.0,0.0,62
spring,2011,1,16,0,4,1,clear,4.22,1.0,38.0,11.0,86
spring,2011,1,17,0,4,1,clear,2.34,-1.0,51.0,11.0,172
spring,2011,1,18,0,4,1,clear,2.34,-1.0,51.0,9.0,163
spring,2011,1,19,0,4,1,clear,2.34,1.0,55.0,6.0,112
spring,2011,1,20,0,4,1,clear,1.4,-2.0,51.0,11.0,69
spring,2011,1,21,0,4,1,misty,2.34,-2.0,55.0,15.0,48
spring,2011,1,22,0,4,1,misty,2.34,-2.0,51.0,19.0,52
spring,2011,1,23,0,4,1,misty,1.4,-3.0,59.0,13.0,23
spring,2011,1,0,0,5,1,misty,1.4,-3.0,64.0,13.0,17
spring,2011,1,1,0,5,1,misty,1.4,-3.0,69.0,15.0,7
spring,2011,1,2,0,5,1,misty,1.4,-3.0,69.0,15.0,1
spring,2011,1,4,0,5,1,misty,1.4,-2.0,69.0,9.0,1
spring,2011,1,5,0,5,1,rain,2.34,2.0,55.0,0.0,5
spring,2011,1,6,0,5,1,misty,1.4,1.0,69.0,0.0,34
spring,2011,1,7,0,5,1,clear,1.4,-2.0,69.0,9.0,84
spring,2011,1,8,0,5,1,clear,1.4,-3.0,51.0,17.0,210
spring,2011,1,9,0,5,1,clear,1.4,-4.0,47.0,20.0,134
spring,2011,1,10,0,5,1,clear,2.34,-3.0,37.0,22.0,63
spring,2011,1,11,0,5,1,misty,1.4,-3.0,40.0,15.0,67
spring,2011,1,12,0,5,1,misty,1.4,-3.0,37.0,17.0,59
spring,2011,1,13,0,5,1,misty,1.4,-4.0,37.0,19.0,73
spring,2011,1,14,0,5,1,misty,1.4,-3.0,40.0,17.0,50
spring,2011,1,15,0,5,1,misty,1.4,-2.0,37.0,11.0,72
spring,2011,1,16,0,5,1,misty,1.4,-2.0,37.0,11.0,87
spring,2011,1,17,0,5,1,misty,1.4,1.0,37.0,0.0,187
spring,2011,1,18,0,5,1,clear,1.4,-1.0,40.0,6.0,123
spring,2011,1,19,0,5,1,clear,-0.48,-3.0,55.0,6.0,95
spring,2011,1,20,0,5,1,clear,0.46,-2.0,47.0,7.0,51
spring,2011,1,21,0,5,1,clear,0.46,-3.0,47.0,9.0,39
spring,2011,1,22,0,5,1,misty,0.46,-3.0,43.0,11.0,36
spring,2011,1,23,0,5,1,misty,0.46,-3.0,51.0,11.0,15
spring,2011,1,0,0,6,0,misty,0.46,-3.0,51.0,11.0,25
spring,2011,1,1,0,6,0,misty,0.46,-2.0,55.0,6.0,16
spring,2011,1,2,0,6,0,misty,0.46,-0.0,55.0,0.0,16
spring,2011,1,3,0,6,0,rain,0.46,-3.0,55.0,11.0,7
spring,2011,1,4,0,6,0,rain,0.46,-3.0,55.0,11.0,1
spring,2011,1,5,0,6,0,misty,-0.48,-5.0,74.0,11.0,5
spring,2011,1,6,0,6,0,misty,-0.48,-5.0,74.0,11.0,2
spring,2011,1,7,0,6,0,misty,-0.48,-4.0,74.0,7.0,9
spring,2011,1,8,0,6,0,rain,-0.48,-4.0,93.0,7.0,15
spring,2011,1,9,0,6,0,rain,-0.48,-4.0,93.0,7.0,20
spring,2011,1,10,0,6,0,misty,0.46,-3.0,80.0,11.0,61
spring,2011,1,11,0,6,0,misty,1.4,-4.0,69.0,26.0,62
spring,2011,1,12,0,6,0,misty,1.4,-4.0,59.0,24.0,98
spring,2011,1,13,0,6,0,clear,1.4,-4.0,44.0,22.0,102
spring,2011,1,14,0,6,0,clear,1.4,-5.0,32.0,33.0,95
spring,2011,1,15,0,6,0,clear,1.4,-5.0,32.0,30.0,74
spring,2011,1,16,0,6,0,clear,0.46,-7.0,29.0,30.0,76
spring,2011,1,17,0,6,0,clear,-0.48,-8.0,37.0,37.0,69
spring,2011,1,18,0,6,0,clear,-1.42,-8.0,39.0,20.0,55
spring,2011,1,19,0,6,0,clear,-1.42,-8.0,36.0,17.0,30
spring,2011,1,20,0,6,0,clear,-2.36,-8.0,36.0,17.0,28
spring,2011,1,21,0,6,0,clear,-2.36,-9.0,39.0,24.0,37
spring,2011,1,22,0,6,0,clear,-2.36,-9.0,36.0,26.0,34
spring,2011,1,23,0,6,0,clear,-3.3,-12.0,39.0,30.0,22
spring,2011,1,0,0,0,0,clear,-3.3,-11.0,42.0,26.0,25
spring,2011,1,1,0,0,0,clear,-3.3,-12.0,42.0,31.0,12
spring,2011,1,2,0,0,0,clear,-3.3,-12.0,46.0,31.0,11
spring,2011,1,3,0,0,0,clear,-3.3,-11.0,46.0,28.0,4
spring,2011,1,4,0,0,0,clear,-4.24,-10.0,53.0,13.0,1
spring,2011,1,5,0,0,0,clear,-4.24,-10.0,53.0,13.0,1
spring,2011,1,6,0,0,0,clear,-3.3,-10.0,49.0,19.0,1
spring,2011,1,7,0,0,0,clear,-4.24,-10.0,53.0,13.0,6
spring,2011,1,8,0,0,0,clear,-3.3,-10.0,49.0,19.0,10
spring,2011,1,9,0,0,0,clear,-2.36,-11.0,46.0,35.0,19
spring,2011,1,10,0,0,0,clear,-1.42,-9.0,43.0,26.0,49
spring,2011,1,11,0,0,0,clear,-0.48,-8.0,40.0,35.0,49
spring,2011,1,12,0,0,0,clear,0.46,-7.0,37.0,30.0,83
spring,2011,1,13,0,0,0,clear,1.4,-5.0,34.0,30.0,75
spring,2011,1,14,0,0,0,clear,2.34,-4.0,32.0,31.0,72
spring,2011,1,15,0,0,0,clear,2.34,-3.0,35.0,24.0,82
spring,2011,1,16,0,0,0,clear,1.4,-5.0,34.0,30.0,92
spring,2011,1,17,0,0,0,clear,0.46,-6.0,37.0,26.0,62
spring,2011,1,18,0,0,0,clear,-0.48,-7.0,40.0,22.0,48
spring,2011,1,19,0,0,0,clear,-0.48,-7.0,43.0,22.0,41
spring,2011,1,20,0,0,0,clear,-1.42,-8.0,46.0,17.0,38
spring,2011,1,21,0,0,0,clear,-1.42,-9.0,46.0,28.0,20
spring,2011,1,22,0,0,0,clear,-1.42,-8.0,46.0,20.0,15
spring,2011,1,23,0,0,0,clear,-2.36,-7.0,50.0,13.0,6
spring,2011,1,0,0,1,1,clear,-2.36,-8.0,50.0,19.0,5
spring,2011,1,1,0,1,1,clear,-2.36,-8.0,50.0,19.0,1
spring,2011,1,2,0,1,1,clear,-2.36,-8.0,50.0,15.0,3
spring,2011,1,3,0,1,1,clear,-2.36,-8.0,50.0,15.0,1
spring,2011,1,4,0,1,1,clear,-3.3,-8.0,54.0,9.0,3
spring,2011,1,5,0,1,1,clear,-3.3,-9.0,54.0,17.0,3
spring,2011,1,6,0,1,1,clear,-2.36,-8.0,50.0,19.0,31
spring,2011,1,7,0,1,1,clear,-2.36,-8.0,50.0,15.0,77
spring,2011,1,8,0,1,1,misty,-2.36,-8.0,50.0,19.0,188
spring,2011,1,9,0,1,1,misty,-1.42,-8.0,50.0,17.0,94
spring,2011,1,10,0,1,1,misty,-1.42,-8.0,50.0,20.0,31
spring,2011,1,11,0,1,1,misty,-0.48,-7.0,47.0,19.0,30
spring,2011,1,12,0,1,1,misty,1.4,-4.0,40.0,19.0,52
spring,2011,1,13,0,1,1,misty,1.4,-4.0,40.0,19.0,54
spring,2011,1,14,0,1,1,misty,1.4,-3.0,40.0,15.0,47
spring,2011,1,15,0,1,1,misty,1.4,-3.0,40.0,15.0,45
spring,2011,1,16,0,1,1,clear,1.4,-2.0,40.0,9.0,74
spring,2011,1,17,0,1,1,clear,1.4,-1.0,40.0,7.0,178
spring,2011,1,18,0,1,1,clear,1.4,-3.0,40.0,15.0,155
spring,2011,1,19,0,1,1,clear,-0.48,-5.0,47.0,11.0,95
spring,2011,1,20,0,1,1,clear,-0.48,-5.0,50.0,11.0,74
