고객ID,성별,나이,연소득_천달러,소비점수
1,남성,19,15,39
2,남성,21,15,81
3,여성,20,16,6
4,여성,23,16,77
5,여성,31,17,40
6,여성,22,17,76
7,여성,35,18,6
8,여성,23,18,94
9,남성,64,19,3
10,여성,30,19,72
11,남성,67,19,14
12,여성,35,19,99
13,여성,58,20,15
14,여성,24,20,77
15,남성,37,20,13
16,남성,22,20,79
17,여성,35,21,35
18,남성,20,21,66
19,남성,52,23,29
20,여성,35,23,98
21,남성,35,24,35
22,남성,25,24,73
23,여성,46,25,5
24,남성,31,25,73
25,여성,54,28,14
26,남성,29,28,82
27,여성,45,28,32
28,남성,35,28,61
29,여성,40,29,31
30,여성,23,29,87
31,남성,60,30,4
32,여성,21,30,73
33,남성,53,33,4
34,남성,18,33,92
35,여성,49,33,14
36,여성,21,33,81
37,여성,42,34,17
38,여성,30,34,73
39,여성,36,37,26
40,여성,20,37,75
41,여성,65,38,35
42,남성,24,38,92
43,남성,48,39,36
44,여성,31,39,61
45,여성,49,39,28
46,여성,24,39,65
47,여성,50,40,55
48,여성,27,40,47
49,여성,29,40,42
50,여성,31,40,42
51,여성,49,42,52
52,남성,33,42,60
53,여성,31,43,54
54,남성,59,43,60
55,여성,50,43,45
56,남성,47,43,41
57,여성,51,44,50
58,남성,69,44,46
59,여성,27,46,51
60,남성,53,46,46
61,남성,70,46,56
62,남성,19,46,55
63,여성,67,47,52
64,여성,54,47,59
65,남성,63,48,51
66,남성,18,48,59
67,여성,43,48,50
68,여성,68,48,48
69,남성,19,48,59
70,여성,32,48,47
71,남성,70,49,55
72,여성,47,49,42
73,여성,60,50,49
74,여성,60,50,56
75,남성,59,54,47
76,남성,26,54,54
77,여성,45,54,53
78,남성,40,54,48
79,여성,23,54,52
80,여성,49,54,42
81,남성,57,54,51
82,남성,38,54,55
83,남성,67,54,41
84,여성,46,54,44
85,여성,21,54,57
86,남성,48,54,46
87,여성,55,57,58
88,여성,22,57,55
89,여성,34,58,60
90,여성,50,58,46
91,여성,68,59,55
92,남성,18,59,41
93,남성,48,60,49
94,여성,40,60,40
95,여성,32,60,42
96,남성,24,60,52
97,여성,47,60,47
98,여성,27,60,50
99,남성,48,61,42
100,남성,20,61,49
101,여성,23,62,41
102,여성,49,62,48
103,남성,67,62,59
104,남성,26,62,55
105,남성,49,62,56
106,여성,21,62,42
107,여성,66,63,50
108,남성,54,63,46
109,남성,68,63,43
110,남성,66,63,48
111,남성,65,63,52
112,여성,19,63,54
113,여성,38,64,42
114,남성,19,64,46
115,여성,18,65,48
116,여성,19,65,50
117,여성,63,65,43
118,여성,49,65,59
119,여성,51,67,43
120,여성,50,67,57
121,남성,27,67,56
122,여성,38,67,40
123,여성,40,69,58
124,남성,39,69,91
125,여성,23,70,29
126,여성,31,70,77
127,남성,43,71,35
128,남성,40,71,95
129,남성,59,71,11
130,남성,38,71,75
131,남성,47,71,9
132,남성,39,71,75
133,여성,25,72,34
134,여성,31,72,71
135,남성,20,73,5
136,여성,29,73,88
137,여성,44,73,7
138,남성,32,73,73
139,남성,19,74,10
140,여성,35,74,72
141,여성,57,75,5
142,남성,32,75,93
143,여성,28,76,40
144,여성,32,76,87
145,남성,25,77,12
146,남성,28,77,97
147,남성,48,77,36
148,여성,32,77,74
149,여성,34,78,22
150,남성,34,78,90
151,남성,43,78,17
152,남성,39,78,88
153,여성,44,78,20
154,여성,38,78,76
155,여성,47,78,16
156,여성,27,78,89
157,남성,37,78,1
158,여성,30,78,78
159,남성,34,78,1
160,여성,30,78,73
161,여성,56,79,35
162,여성,29,79,83
163,남성,19,81,5
164,여성,31,81,93
165,남성,50,85,26
166,여성,36,85,75
167,남성,42,86,20
168,여성,33,86,95
169,여성,36,87,27
170,남성,32,87,63
171,남성,40,87,13
172,남성,28,87,75
173,남성,36,87,10
174,남성,36,87,92
175,여성,52,88,13
176,여성,30,88,86
177,남성,58,88,15
178,남성,27,88,69
179,남성,59,93,14
180,남성,35,93,90
181,여성,37,97,32
182,여성,32,97,86
183,남성,46,98,15
184,여성,29,98,88
185,여성,41,99,39
186,남성,30,99,97
187,여성,54,101,24
188,남성,28,101,68
189,여성,41,103,17
190,여성,36,103,85
191,여성,34,103,23
192,여성,32,103,69
193,남성,33,113,8
194,여성,38,113,91
195,여성,47,120,16
196,여성,35,120,79
197,여성,45,126,28
198,남성,32,126,74
199,남성,32,137,18
200,남성,30,137,83
